havg	hmax	hmin	hv	savg	smax	smin	sv	vavg	vmax	vmin	vv	frame_edges_comp	frame_comp
4691987005440.0	179.0	0.0	3288.1382541461317	2374648381440.0	255.0	0.0	3080.165763665242	13128317644800.0	255.0	1.0	7088.431509113428	1699.75	1297.865149699667
4699449016320.0	179.0	0.0	3273.168618209649	2372971192320.0	255.0	0.0	3072.4863189149864	13128309227520.0	255.0	1.0	7093.140662241449	1730.75	1280.2362126917928
4696778649600.0	179.0	0.0	3229.2201162030437	2392616386560.0	255.0	0.0	3147.469383557956	13123523911680.0	255.0	2.0	7109.790144459111	1698.5	1153.3393685226104
4700855992320.0	179.0	0.0	3238.907069749027	2391472926720.0	255.0	0.0	3151.7736059420376	13121943367680.0	255.0	2.0	7120.133975097837	1668.0	1140.779500326787
4700765552640.0	179.0	0.0	3244.6736463956204	2391823319040.0	255.0	0.0	3160.3614933654576	13121182494720.0	255.0	1.0	7124.918007314226	1682.0	1224.8948017490893
4710460293120.0	179.0	0.0	3257.8091898499383	2381262520320.0	255.0	0.0	3132.1958378692416	13123977400320.0	255.0	1.0	7126.021611108325	1763.25	1418.2619277333413
4725854146560.0	179.0	0.0	3273.2382259609117	2366657556480.0	255.0	0.0	3087.9740413082227	13129330667520.0	255.0	1.0	7125.106408716805	1956.75	1690.0227545049945
4740878254080.0	179.0	0.0	3280.9023382906807	2345125355520.0	255.0	0.0	3017.616710982768	13136392335360.0	255.0	1.0	7122.550585346953	2219.5	1803.803293548286
4757369364480.0	179.0	0.0	3276.039848669836	2326310400000.0	255.0	0.0	2950.4030759176153	13144222187520.0	255.0	1.0	7118.524848765861	2283.75	1814.077561389312
4767567605760.0	179.0	0.0	3289.5722174247	2302973644800.0	255.0	0.0	2880.052620520963	13152198696960.0	255.0	1.0	7113.3882154978	2259.0	1737.5192376521113
4769677578240.0	179.0	0.0	3293.1647139804095	2289623531520.0	255.0	0.0	2849.9819823190273	13157410775040.0	255.0	0.0	7108.0034448238375	2007.5	1529.9969202212021
4763678515200.0	179.0	0.0	3293.0206795574395	2281089454080.0	255.0	0.0	2827.6163420539756	13159616225280.0	255.0	0.0	7106.834437718668	1741.25	1485.7318995734984
4755285565440.0	179.0	0.0	3299.802962255753	2276338176000.0	255.0	0.0	2830.246781939856	13160573890560.0	255.0	0.0	7106.071856511953	1848.0	1413.2303940181157
4742627635200.0	179.0	0.0	3301.135227120558	2273432309760.0	255.0	0.0	2834.2317970955633	13160885391360.0	255.0	0.0	7107.648296825929	1874.75	1367.1220407144524
4740645027840.0	179.0	0.0	3293.606479901652	2272762920960.0	255.0	0.0	2838.1382003435556	13160460963840.0	255.0	0.0	7111.690839033858	1698.0	1245.2998699563855
4740000030720.0	179.0	0.0	3288.5280687966874	2271212052480.0	255.0	0.0	2830.5630178386473	13160602030080.0	255.0	1.0	7117.354023825762	1581.25	1071.9792606828296
4739839303680.0	179.0	0.0	3280.952339135636	2273414922240.0	255.0	0.0	2846.5565547904753	13161206661120.0	255.0	1.0	7119.55853312361	1454.5	1050.5705276835454
4743817543680.0	179.0	0.0	3305.3678191813788	2254745210880.0	255.0	0.0	2771.107898668702	13166783385600.0	255.0	1.0	7108.001487035231	1333.5	1024.0169968254954
4746651893760.0	179.0	0.0	3302.1576716513528	2251917619200.0	255.0	0.0	2770.706041423024	13167732695040.0	255.0	1.0	7106.8358589554255	1572.25	1129.9438665152034
4755461713920.0	179.0	0.0	3338.285573721536	2230822318080.0	255.0	0.0	2699.268738124328	13174906859520.0	255.0	1.0	7092.979287833542	1754.0	1223.946753135601
4755820277760.0	179.0	0.0	3328.6517856137275	2230598983680.0	255.0	0.0	2710.77139223529	13177382891520.0	255.0	1.0	7089.598430715572	1619.25	1209.0461975973358
4756833484800.0	179.0	0.0	3318.4352805528	2227833262080.0	255.0	0.0	2706.1285210685837	13178927616000.0	255.0	1.0	7088.787257865536	1530.25	1200.5259990351997
4752808611840.0	179.0	0.0	3277.0772782035083	2247679610880.0	255.0	0.0	2784.8814987958376	13174346895360.0	255.0	0.0	7102.824224433275	1333.25	1171.501838933264
4752480522240.0	179.0	0.0	3272.8796020140853	2252620615680.0	255.0	0.0	2808.3682452803823	13174157537280.0	255.0	0.0	7106.350141567156	1212.75	1174.3084435896917
4744157736960.0	179.0	0.0	3228.4565707094084	2275172413440.0	255.0	0.0	2888.351209858629	13167736504320.0	255.0	0.0	7123.603109622278	1298.5	1244.9059117668414
4748469288960.0	179.0	0.0	3242.567455621422	2275545661440.0	255.0	0.0	2884.540660589112	13165366210560.0	255.0	0.0	7131.686656123702	1402.25	1292.1087804917488
4750239866880.0	179.0	0.0	3248.743809679752	2274851450880.0	255.0	0.0	2879.645805775568	13164455116800.0	255.0	0.0	7136.1944447253545	1456.75	1253.3576457071263
4749264445440.0	179.0	0.0	3251.13312898212	2273494794240.0	255.0	0.0	2875.365209315639	13163722752000.0	255.0	1.0	7141.002065515624	1436.0	1174.2154772649465
4748427509760.0	179.0	0.0	3247.2205197126596	2271787622400.0	255.0	0.0	2862.6405202914134	13163467960320.0	255.0	1.0	7144.196072848097	1297.75	1076.212462263857
4755392286720.0	179.0	0.0	3287.434117952103	2252138250240.0	255.0	0.0	2780.837100267983	13168657920000.0	255.0	1.0	7134.8893730622285	1155.0	977.1515748031495
4759669248000.0	179.0	0.0	3323.07258223611	2232732487680.0	255.0	0.0	2706.530005689589	13174797557760.0	255.0	1.0	7121.8127896358055	1083.5	1008.4954988951479
